a      阿啊                     
ai     哎哀埃挨唉癌矮蔼艾爱嫒暧隘碍
an     安氨鞍庵鹌铵俺埯岸按案暗        
ang    肮昂盎     
ao     凹遨嗷獒熬翱拗袄坳傲奥澳懊 
ba     八扒叭巴芭吧疤捌拔跋把爸罢         
bai    掰白百佰伯柏摆败拜            
ban    扳颁班斑般搬板版办半伴扮瓣      
bang   邦帮梆绑榜膀棒谤磅镑
bao    包苞胞剥煲薄饱宝保堡报抱暴瀑曝爆      
bet    杯卑碑背悲北贝备倍焙被辈臂
ben    奔本苯笨                 
beng   崩嘣甭绷泵迸蚌蹦 
bi     逼鼻比彼笔鄙币必毕闭敝弊辟壁避碧 
bian   边编鞭贬扁匾变便遍辩辫
biao   标彪膘表婊裱鳔              
bie    瘪憋鳖别
bin    宾滨缤彬斌濒殡鬓              
bing   冰并兵丙柄炳秉饼屏禀摒病 
bo     拨波玻菠剥播伯泊魄驳勃脖博搏薄卜        
bu     补捕哺堡不布怖步部埠簿
ca      拆擦嚓
cai     猜才材财裁采彩睬踩菜蔡
can     参餐残蚕惭惨灿
cang   仓苍沧舱藏
cao     操糙曹嘈草
ce      册厕侧测策
cen     参
ceng    噌层曾蹭
cha     叉杈差插喳茬茶搽查碴察衩岔
chai    拆钗差柴豺
chan    掺搀婵谗馋潺缠产铲阐忏颤
chang   昌猖长场肠尝偿常厂敞畅倡唱
chao    抄吵钞超朝嘲潮炒
che     车尺扯彻掣撤
chen    抻琛臣辰晨尘沉陈碜衬称趁
cheng   称铛撑成诚城丞呈程承乘惩澄逞秤 
chi     吃痴池驰迟持匙尺齿耻斥赤翅
chong   冲充虫重崇宠
chou    抽仇筹酬愁丑瞅臭
chu     出初雏除厨锄处储楚畜触
chuai   揣踹嘬
chuan   川穿传船喘串钏
chuang 创疮窗床闯
chui    吹炊垂捶锤槌
chun   春纯唇淳鹑醇蠢
chuo   戳龊辍绰
ci     刺词祠雌瓷兹慈磁辞此次伺赐
cong   匆葱苁聪从丛淙
cou    凑
cu     粗猝促醋簇
cuan   氽撺蹿攒窜篡
cui    崔催摧脆萃啐淬粹翠
cun    村存寸
cuo    搓蹉撮矬挫措错
da     搭答达打大瘩
dai    呆待歹逮傣代贷袋殆怠带戴
dan    丹担单眈耽胆旦但诞淡氮弹蛋
dang   当裆挡党档荡 
dao    叨刀倒导岛捣祷蹈到盗悼道稻
de     得德地的
dei    得
deng   灯登等邓凳澄瞪
di     低堤滴笛的敌涤嘀坻抵底地弟递第帝缔
dian   掂颠典碘点踮电佃店惦垫奠殿
diao   刁叼凋碉雕貂吊钓调掉
die    爹跌谍喋牒碟蝶叠
ding   丁叮盯钉顶鼎订定锭
diu    丢
dong   东冬董懂动冻栋洞
dou    都兜斗抖蚪陡豆逗痘
du     都嘟督毒独读渎肚堵赌睹杜妒度渡镀
duan   端短段缎煅锻断
dui    堆队对兑碓
dun    吨敦墩蹲盹囤炖钝顿盾遁
duo    多哆掇夺度朵垛躲驮舵堕惰
e     阿讹俄哦娥鹅额恶厄扼饿鄂遏噩
en    恩
er    儿而尔耳饵二贰
fa    发乏伐阀筏罚法
fan   帆番翻凡矾烦繁反返犯范饭贩泛
fang  方坊芳防妨房仿访纺放
fei   飞妃非啡肥匪诽翡肺沸费废痱
fen   分芬纷氛坟汾焚粉份忿奋愤粪
feng  丰风疯封峰烽锋蜂逢缝讽凤奉俸
fo    佛
fou   否
fu    夫肤麸孵敷扶芙拂伏茯袱俘浮符服幅辐福父斧釜抚辅脯府俯腑腐赴付附负妇复腹覆副富赋傅缚咐 
ga    旮嘎尬
gai   该改丐钙盖溉概
gan   干杆肝矸竿甘泔柑秆赶擀敢感赣
gang  冈刚岗纲钢肛缸罡港杠
gao   皋高膏篙羔糕睾搞镐稿告诰锆
ge    戈圪疙咯胳搁哥歌鸽割革蛤阁格隔葛个各
gei   给
gen   根跟
geng  更庚耕羹埂哽梗耿
gong  工功攻弓躬公供宫恭巩拱共贡
gou   勾沟钩佝枸篝苟狗构购垢够
gu    估咕沽姑辜孤骨箍古谷股鼓故固顾雇
gua   瓜呱刮剐寡卦挂褂
